CARDINALITY,TIME TAKEN,MODE,GUESS COUNT, MINES ATTACKED COUNT, SOLUTION FOUND, NO SOLUTION FOUND, AMBIGUOUS SOLUTION FOUND,
20,1170,NAIIVE,203,157,28,199,57
10,827,NAIIVE,25,10,8,25,6
20,1950,NAIIVE,431,349,15,431,8
30,1840,NAIIVE,551,418,172,551,12
5,1671,NAIIVE,0,0,3,0,0
10,218,NAIIVE,28,16,11,28,3
15,219,NAIIVE,61,36,45,61,7
20,1991,NAIIVE,426,338,52,422,77
25,2059,NAIIVE,672,520,103,665,113
5,63,MEDIUM,675,521,107,668,115
10,171,MEDIUM,759,577,114,751,127
5,562,NAIIVE,0,0,3,0,0
10,125,NAIIVE,15,10,17,15,3
15,375,NAIIVE,42,19,56,42,3
20,1123,NAIIVE,240,174,56,240,3
25,873,NAIIVE,307,211,154,305,43
5,47,MEDIUM,312,213,158,310,46
10,125,MEDIUM,366,250,169,364,54
15,421,MEDIUM,475,314,206,473,63
5,546,NAIIVE,0,0,5,0,0
10,110,NAIIVE,0,0,21,0,0
15,499,NAIIVE,90,67,38,89,12
20,890,NAIIVE,217,146,66,215,33
25,2511,NAIIVE,531,401,110,529,45
5,452,NAIIVE,0,0,0,0,0
10,203,NAIIVE,3,0,20,3,3
15,530,NAIIVE,94,51,25,94,5
20,983,NAIIVE,290,204,55,290,14
25,1700,NAIIVE,501,375,106,501,29
5,47,MEDIUM,507,377,111,507,29
10,140,MEDIUM,558,399,119,558,31
15,593,MEDIUM,708,490,133,708,31
20,2184,MEDIUM,1063,746,150,1063,38
25,6411,MEDIUM,1612,1124,173,1609,74
5,483,NAIIVE,0,0,3,0,0
10,141,NAIIVE,1,0,18,1,0
15,515,NAIIVE,79,50,29,77,20
20,639,NAIIVE,145,89,98,138,99
25,2933,NAIIVE,432,296,98,422,132
5,63,MEDIUM,433,296,103,423,134
10,171,MEDIUM,513,350,113,503,137
15,452,MEDIUM,665,470,118,655,144
20,2137,MEDIUM,1072,790,120,1062,149
25,6365,MEDIUM,1590,1165,141,1578,192
5,63,EXPERT,1595,1166,151,1578,253
10,280,EXPERT,1745,1271,153,1726,282
5,546,NAIIVE,2,1,3,0,6
10,234,NAIIVE,35,23,11,33,11
15,671,NAIIVE,117,69,24,108,168
20,920,NAIIVE,279,175,52,270,172
25,1685,NAIIVE,461,307,125,452,181
5,47,MEDIUM,468,308,129,458,200
10,671,MEDIUM,526,338,143,508,358
5,593,NAIIVE,2,0,3,0,11
10,219,NAIIVE,23,12,21,21,13
15,327,NAIIVE,57,32,61,54,22
20,1092,NAIIVE,246,171,92,243,22
25,3276,NAIIVE,564,418,147,561,30
5,47,MEDIUM,567,419,147,564,30
